Comment,Description,Designator,Footprint,LibRef,Pins,Quantity,PartNumber,url
100nF (104) 10% 50V,贴片电容,"C1,C3,",0603_C,0603_100nF__104_10%_50V,2,2,C14663,http://www.szlcsc.com/product/details_15331.html
10uF (106) 10% 10V,贴片电容,"C4,C2,",0603_C,0603_10uF__106_10%_10V,2,2,C19702,http://www.szlcsc.com/product/details_20411.html
CAP,desc,"C5,",CASE-B_3528,libref,2,1,,非必须
22uF (226) 20% 6.3V,贴片电容,"C6,",0603_C,0603_22uF__226_20%_6.3V,2,1,C59461,http://www.szlcsc.com/product/details_60514.html
1N4148WS T4,二极管,"D1,D2,D3,",SOD-323,SOD-323_1N4148WS_T4,2,3,C2128,http://www.szlcsc.com/product/details_2485.html
蓝灯 0603,发光二极管,"L1,",0603_LED_S1,0603_蓝灯,2,1,C72041,http://www.szlcsc.com/product/details_73150.html
PRDZN-AC-DC,AC-DC电源,"PS1,",RPDZN-AC-DC-3W-2,libref,4,1,淘宝,https://m.tb.cn/h.e7m0a5w
SS8050 Y1,三极管,"Q3,Q2,Q1,",SOT-23(SOT-23-3),SOT-23_SS8050_Y1,3,3,C2150,http://www.szlcsc.com/product/details_2507.html
1KΩ (1001) ±1%,贴片电阻,"R8,R6,R1,R4,",0603_R,0603_1KΩ__1001_1%,2,4,C21190,http://www.szlcsc.com/product/details_21904.html
10KΩ (1002) ±1%,贴片电阻,"R9,R7,R3,R2,R5,",0603_R,0603_10KΩ__1002_1%,2,5,C25804,http://www.szlcsc.com/product/details_26547.html
ATmega328P-AU,MCU,"U1,",328P-AU,TQFP-32_7x7mm,32,1,淘宝,
XC6206P332MR,低压差线性稳压(LDO),"VR1,",SOT-23-3L,SOT-23_XC6206P332MR,3,1,C5446,http://www.szlcsc.com/product/details_5896.html
10uF (106) 10% 10V,贴片电容,"C4,",0603_C,0603_10uF__106_10%_10V,2,1,C19702,http://www.szlcsc.com/product/details_20411.html
Fuse,保险,"F1,",Fuse_Littelfuse_395Series,libref,2,1,C312026,~
HF49FD-005-1H11T,继电器,"K1,",RELAY_HF49F_5.08,libref,4,3,淘宝,
Thermistor_NTC,压敏电阻,"TH1,",RV_Disc_D7mm_W4.2mm_P5mm,libref,2,1,C317765,~
SI24R1,无线模块,,安信可,,,,,
